"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Macrophage->CD8->Treg","-,-",2,1,0.0111952531230775,"Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->NK->CD8","-,-",2,1,0.0111506369697191,"Bcell-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Treg->CD8","+,+",2,1,0.0111385680130025,"CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Treg->CD8->Treg","+,+",2,1,0.0111385680130025,"Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Macrophage->Treg->Treg","+,+",2,1,0.011106424562449,"Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12]"
"CAF->NK->CD8","-,-",2,1,0.0110999842680734,"CAF-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->Treg->CD8","+,+",2,1,0.0110969786096914,"CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Bcell->NK->Treg","-,-",2,1,0.0110805202252545,"Bcell-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->CD8","-,-",2,1,0.0110570637906587,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"NK->Treg->Treg","+,+",2,1,0.0110328554962726,"NK-+>Treg[LR7/LR8/LR10/LR11/LR12] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12]"
